doi,status,title,journal,year,reason
10.1126/scitranslmed.adp6411,VERIFIED,"Rapid tuberculosis diagnosis from respiratory or blood samples by a low cost, portable lab-in-tube assay",Science Translational Medicine,2025,
10.1016/S2666-5247(22)00087-8,VERIFIED,"CRISPR detection of circulating cell-free Mycobacterium tuberculosis DNA in adults and children, including children with HIV: a molecular diagnostics study",The Lancet Microbe,2022,
10.1038/s41467-023-37183-8,VERIFIED,Genome-wide tiled detection of circulating Mycobacterium tuberculosis cell-free DNA using Cas13,Nature Communications,2023,
10.1128/spectrum.02652-24,VERIFIED,"Rapid and sensitive detection of
                    <i>Mycobacterium tuberculosis</i>
                    using the RPA/Cas12f1_ge4.1 system with fluorescence and lateral flow readouts",Microbiology Spectrum,2025,
10.1016/j.aca.2026.345085,VERIFIED,CADEM: Species-level detection of mycobacterial cfDNA via CRISPR for pulmonary disease diagnosis,Analytica Chimica Acta,2026,
10.1016/j.tube.2023.102340,VERIFIED,Evolution of tuberculosis diagnostics: From molecular strategies to nanodiagnostics,Tuberculosis,2023,
